ALGORITHM, FEATURE_R, FEATURE_L, FEATURE_U, FEATURE_D, FEATURE_F, FEATURE_B, FEATURE_RP, FEATURE_LP, FEATURE_UP, FEATURE_DP, FEATURE_FP, FEATURE_BP, FEATURE_R2, FEATURE_L2, FEATURE_U2, FEATURE_D2, FEATURE_F2, FEATURE_B2, FEATURE_M, FEATURE_MP, FEATURE_M2, FEATURE_REGRIPS, FEATURE_RL_REGRIPS, FEATURE_OVERWORKING, LABEL
R' F' U' D' R2 U' R' D2 ,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,
R' F' U' F' U' M D2 ,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,
R' F' U' R2 U' M D' R' D2 ,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,2,
R' F' U' M F R U' R ,2,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
R' F' U' M2 U2 F' R ,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,
R' F' D' R D' R' U R2 L' ,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,
R' F' D' F' U' D' R U2 B ,1,0,0,0,0,1,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,
R' F' D' U2 M D F ,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
R' F' R2 U F R2 D L' ,0,0,1,1,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,1,0,
R' F' R2 F R' U F R2 ,0,0,1,0,2,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,1,
R' F' R2 D' R' F D' M' ,0,0,0,0,1,0,2,0,0,2,1,0,1,0,0,0,0,0,0,1,0,3,0,0,
R' F' U2 R D U' R' U2 M2 ,1,0,0,1,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,
R' F' U2 F D' R U' R F ,2,0,0,0,2,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,3,0,1,
R' F' U2 D2 M U2 R ,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,
R' F' D2 F' R D' B' ,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,
R' F' M U F' D L' ,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,
R' F' M D U2 F D' M ,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,
R' F' M U' R' U B2 ,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,
R' F' M D' U' R2 D' M' ,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,
R' F' M U2 R D R' D ,1,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,
R' U2 R U R U D F M2 ,2,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,
R' U2 R U R' U' F B ,1,0,1,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,
R' U2 R D R U R2 U' L2 ,2,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,
R' U2 R F R U' R' F L ,2,1,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,
R' U2 R F M U R F U ,2,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,
R' U2 R U' R' F R' D U2 ,1,0,0,1,1,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,
R' U2 R U' M U' B2 ,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,
R' U2 R F' R U D ,2,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
R' U2 F R U R U' R2 F2 ,2,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,
R' U2 F U R U2 R D' ,2,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
R' U2 F D R' F' D ,0,0,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,
R' U2 F R' U2 F U2 L2 ,0,0,0,0,2,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,1,0,
R' U2 F U' M U' F' U M2 ,0,0,1,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,
R' U2 F U2 R2 D' B' ,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,
R' U2 R' U R U' D' R' L' ,1,0,1,0,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
R' U2 R' U F' M U' R2 F ,0,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,3,0,0,
R' U2 R' D F' U' B ,0,0,0,1,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,
R' U2 R' F R2 D' R' L2 ,0,0,0,0,1,0,3,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,
R' U2 R' U' F' R U F B' ,1,0,1,0,1,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,6,0,0,
R' U2 R' D' R U' R' U L2 ,1,0,1,0,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
R' U2 R' U2 R D R' U F ,1,0,1,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
R' U2 F' U R F R D U2 ,2,0,1,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,
R' U2 F' D R U F B2 ,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,6,0,0,
R' U2 F' U' F U R D' F' ,1,0,1,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,
R' U2 F' D' R2 U D L2 ,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,
R' U2 F' M U' D' F' U' L' ,0,0,0,0,0,0,1,1,2,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,
R' U2 R2 D M F U' D ,0,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,
R' U2 R2 U2 F R' D' L ,0,1,0,0,1,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,6,1,0,
R' U2 M U R U R' U2 F' ,1,0,2,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,
R' U2 M U F' U M U2 ,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,
R' U2 M F R D U2 R' ,1,0,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,
R' U2 M U' R D2 F ,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,
R' U2 M U' M U R U' B ,1,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,
R' U2 M F' D R D' M2 ,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,
R' U2 M2 U2 F D ,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,
R' D2 R U2 R U' M D' ,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
R' D2 F M U' M D' ,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,
R' D2 U' F R2 D L2 ,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,
R' D2 M U R U2 R' F ,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
R' F2 R D R' U' R L' ,2,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
R' F2 D R U' R' U' L ,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,
R' F2 D' F' R2 U' R2 ,0,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,
L' U' F D' U2 ,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
U' R U R F R' U D' R' L2 ,2,0,2,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6,1,0,
U' R U R U' M U D ,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
U' R U D R D U' F M ,2,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,
U' R U D R' F' R D B ,2,0,1,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
U' R U F U R U' M D ,2,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,
U' R U F R' D' U2 M B2 ,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,9,0,0,
U' R U F R2 D' R B2 ,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,6,0,0,
U' R U R' U D' F R U' ,2,0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
U' R U R' F R U R D' L2 ,3,0,2,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
U' R U R' U' R F R D' U2 ,3,0,1,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,
U' R U R' U' R2 U R' U' D' ,1,0,2,0,0,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
U' R U R' D' M D' F' U' ,1,0,1,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,
U' R U D' R U' D' R' U' B2 ,2,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
U' R U D' R' U' D' R U M ,2,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
U' R U B' R2 L2 ,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,
U' R U R2 D' F' R D' R2 ,2,0,1,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,3,0,0,
U' R U M U F U2 L2 ,1,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,3,1,0,
U' R U M F M U D B ,1,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,
U' R U M F' U' M2 ,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,
U' R D R F U' R' D L ,2,1,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,
U' R D F U R2 U2 R2 ,1,0,1,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,
U' R D R' U D R' U2 F2 ,1,0,1,2,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
U' R D R' F U' R2 U' F' ,1,0,0,1,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,
U' R D R' F' D' ,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
U' R D U' R' U F D' M' ,1,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
U' R D U' M D' F U' M' ,1,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,
U' R D U2 R' U D' R' L' ,1,0,1,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
U' R D M F R' F' M2 ,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,6,0,1,
U' R F R U R2 F' L' ,2,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,6,1,0,
U' R F R D' M D' R' L2 ,2,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,3,1,1,
U' R F U F M D R D2 ,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,2,
U' R F U R2 U F' D' F ,1,0,2,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,6,0,1,
U' R F D R' U' R2 U D ,1,0,1,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,
U' R F R' U R' F' D R ,2,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,
U' R F R' U' R F D M' ,2,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,
U' R F R' F' D' R2 U' ,1,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,6,0,1,
U' R F U' F U2 R U L' ,2,0,1,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,
U' R F U' D' R2 D F' ,1,0,0,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,
U' R F D' F U' R U' B ,2,0,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,
U' R F R2 U M D' B2 ,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,3,0,0,
U' R F U2 R2 U D' L' ,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,3,1,0,
U' R F M D M U R' D2 ,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,6,0,1,
U' R U' R U F D U2 F ,2,0,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,
U' R U' R F U F M U2 ,2,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,
U' R U' R U' F' M2 ,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,
U' R U' F R U D R2 B2 ,2,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,6,0,1,
U' R U' F D U' R' U B2 ,1,0,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,
U' R U' F U' R' U' M U' L ,1,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,6,1,4,
U' R U' F M F D' F ,1,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,3,
U' R U' R' U D' R U' R' B ,2,0,1,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,
U' R U' R' D F' D U2 F' ,1,0,0,2,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,
U' R U' R' F U2 F U M ,1,0,1,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,
U' R U' R' U' D' R' U' B' ,1,0,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,
U' R U' R' D' F' U2 M F' ,1,0,0,0,0,0,1,0,2,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,
U' R U' D' R D M F B' ,2,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,6,0,1,
U' R U' D' R' F D' L' ,1,0,0,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
U' R U' D' M2 U' F ,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,
U' R U' R2 U' D' F' U' D2 ,1,0,0,0,0,0,0,0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,
U' R U' B2 D' R' L' ,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,
U' R U' M D U2 R' F' B ,1,0,0,1,0,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,
U' R U' M U' D' R' U D2 ,1,0,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,
U' R D' R U F U2 F2 ,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,3,0,1,
U' R D' R U' D' M F U' ,2,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,
U' R D' F D R U F' ,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,
U' R D' F M F U R' F' ,1,0,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,6,0,1,
U' R D' R' D U' M D2 ,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
U' R D' R' U' D' R U B ,2,0,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
U' R D' U' R D' R' U R' L' ,2,0,1,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
U' R D' U2 F R' U' R U2 ,2,0,0,0,1,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,6,0,0,
U' R D' M U R' U2 L2 ,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,
U' R D' M U2 R F U F2 ,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,3,0,1,
U' R U2 R D U' R' D R' ,2,0,0,2,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
U' R U2 F U D R U M' ,2,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,
U' R U2 F M D' R U M' ,2,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,3,0,0,
U' R U2 R' F U D' R F ,2,0,1,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,
U' R U2 R' D' U' M D' M' ,1,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
U' R U2 R2 D' R F M2 ,2,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0,
U' R D2 R D' F U ,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
U' R B2 U R' F R U ,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
U' F R U R U R' U2 D2 ,2,0,2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
U' F R U R' U' F U' R' B ,1,0,1,0,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,
U' F R U M F U' R B2 ,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,
U' F R D R2 U' F R2 ,1,0,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,
U' F R F U' M U B2 ,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,6,0,1,
U' F R U' R' U D' R D ,2,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
U' F R U' R2 B ,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
U' F R D' R' F L' ,1,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
U' F R U2 R' U M U' B ,1,0,1,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,
U' F U R U R2 D U' R2 ,1,0,2,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,
U' F U R U' R2 U' F D ,1,0,1,1,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,
U' F U D R' U R D' L' ,1,0,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,
U' F U F R' U M D' B ,0,0,2,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,0,1,
U' F U R' U D' R' U F ,0,0,3,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
U' F U R' U' R' D U' L2 ,0,0,1,1,1,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,
U' F U R' U2 R' F' U2 B ,0,0,1,0,1,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,6,0,0,
U' F U D' F' U2 D2 ,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
U' F U F' M U' R D U2 ,1,0,1,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,
U' F U D2 F U ,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
U' F U M U' R D M B ,1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,
U' F D R U R D' M U2 ,2,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
U' F D F U' F' D2 ,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,
U' F D R' F' D U2 M' ,0,0,0,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,
U' F D U' M U R D' L2 ,1,0,1,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,
U' F D U2 F R' D F ,0,0,0,2,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,
U' F D M F' R2 U' F' ,0,0,0,1,1,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,
U' F R' U F U' M B2 ,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,
U' F R' U F' M2 F2 ,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,
U' F R' D R' D U' R U ,1,0,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,
U' F R' F R D' M U' ,1,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,
U' F R' U' R U M U B ,1,0,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,
U' F R' U' R' U' M D' M' ,0,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,0,1,1,0,3,0,1,
U' F R' U' M F D U' F' ,0,0,0,1,2,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,
U' F R' D' F' D U2 B ,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,6,0,0,
U' F R' U2 R' U F' D' U2 ,0,0,1,0,1,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,3,0,0,
U' F U' R U R' F R' U' M' ,1,0,1,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,
U' F U' R U' R' D F' L2 ,1,0,0,1,1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,
U' F U' F R U' R U2 M ,2,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,
U' F U' F M D R U' L ,1,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,
U' F U' R' D U' M U' F2 ,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,0,3,0,2,
U' F U' R' D' R F U' R' ,1,0,0,0,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,
U' F U' D' F R F' ,1,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
U' F U' F' U R D' M B' ,1,0,1,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,3,0,2,
U' F U' R2 D R' U D2 ,0,0,1,1,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,
U' F U' B2 U' M U' F2 ,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,0,6,0,3,
U' F U' M U' R' U2 R D ,1,0,0,1,1,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,
U' F D' R U R2 F' U F' ,1,0,2,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,3,0,1,
U' F D' F U D' R' U D2 ,0,0,2,0,2,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,3,0,1,
U' F D' R' U' F U R D2 ,1,0,1,0,2,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
U' F D' R2 U D R' U ,0,0,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
U' F D' B2 U D M' ,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,
U' F B' R2 D' M' ,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,3,0,0,
U' F R2 D R' U R L' ,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
U' F R2 U' D' R' U' F2 ,0,0,0,0,1,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,
U' F R2 U2 F R' U2 F' ,0,0,0,0,2,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,6,0,0,
U' F U2 R U' M U2 R' ,1,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,
U' F U2 R' F R2 F2 ,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,6,0,1,
U' F U2 R2 U R2 U' B2 ,0,0,1,0,1,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,3,0,0,
U' F U2 M U' F' U2 L ,0,1,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,
U' F B2 U' F D ,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,
U' F M U R' F R U' B2 ,1,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,
U' F M D R U2 R2 U' ,1,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,
U' F M F R' D R U L2 ,1,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,1,1,
U' F M U' R' U' F D B2 ,0,0,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,6,0,1,
U' F M D' R U' M U R ,2,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
U' F M F' M U2 ,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,
U' F M2 U F' U L' ,0,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,
U' R' U R D R D U2 F2 ,2,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,
